Bundle,State
org.eclipse.equinox.p2.ui.admin_1.0.200.v20150430-1836,STARTING
org.eclipse.equinox.p2.ui.admin.rcp_1.0.200.v20150220-1741,STARTING
org.eclipse.equinox.p2.ui.discovery_1.0.201.v20160901-1335,RESOLVED
org.eclipse.equinox.p2.ui.importexport_1.1.200.v20160521-1138,STARTING
org.eclipse.equinox.p2.ui.sdk_1.0.400.v20150423-1455,STARTING
org.eclipse.equinox.p2.ui.sdk.scheduler_1.3.0.v20161124-1529,STARTING
org.eclipse.equinox.p2.updatechecker_1.1.300.v20161124-1529,STARTING
org.eclipse.equinox.p2.updatesite_1.0.600.v20160504-1450,STARTING
org.eclipse.equinox.preferences_3.6.1.v20160815-1406,STARTING
org.eclipse.equinox.region_1.3.2.v20170118-1930,RESOLVED
org.eclipse.equinox.registry_3.6.100.v20160223-2218,STARTING
org.eclipse.equinox.security_1.2.200.v20150715-1528,STARTING
org.eclipse.equinox.security.macosx_1.100.200.v20130327-1442,RESOLVED
org.eclipse.equinox.security.ui_1.1.300.v20150803-1225,STARTING
org.eclipse.equinox.security.win32.x86_1.0.300.v20130327-1442,INSTALLED
org.eclipse.equinox.security.win32.x86_64_1.0.100.v20130327-1442,INSTALLED
org.eclipse.equinox.servletbridge_1.3.200.v20160128-1435,RESOLVED
org.eclipse.equinox.simpleconfigurator_1.1.200.v20160504-1450,STARTING
org.eclipse.equinox.simpleconfigurator.manipulator_2.0.200.v20160504-1450,STARTING
org.eclipse.equinox.supplement_1.6.100.v20160504-1419,RESOLVED
org.eclipse.equinox.transforms.hook_1.1.0.v20131021-1933,RESOLVED
org.eclipse.equinox.transforms.xslt_1.0.300.v20130327-1442,STARTING
org.eclipse.equinox.useradmin_1.1.400.v20130327-1442,RESOLVED
org.eclipse.equinox.util_1.0.500.v20130404-1337,STARTING
org.eclipse.equinox.weaving.caching_1.0.400.v20140529-1734,RESOLVED
org.eclipse.equinox.weaving.caching.j9_1.0.200.v20140529-1734,STARTING
org.eclipse.equinox.weaving.hook_1.1.200.v20150730-1648,RESOLVED
org.eclipse.equinox.wireadmin_1.0.600.v20150715-1528,RESOLVED
org.eclipse.help_3.7.0.v20160602-1307,STARTING
org.eclipse.help.base_4.1.2.v20170301-0400,STARTING
org.eclipse.help.ui_4.0.200.v20160510-0758,STARTING
org.eclipse.help.webapp_3.8.0.v20160504-0839,STARTING
org.eclipse.jdt_3.12.3.v20170301-0400,RESOLVED
org.eclipse.jdt.annotation_2.1.0.v20160418-1457,RESOLVED
org.eclipse.jdt.apt.core_3.4.100.v20160525-0952,STARTING
org.eclipse.jdt.apt.pluggable.core_1.1.100.v20160418-1457,STARTING
org.eclipse.jdt.apt.ui_3.4.100.v20160418-1457,STARTING
org.eclipse.jdt.compiler.apt_1.2.100.v20160418-1457,RESOLVED
org.eclipse.jdt.compiler.tool_1.1.100.v20160418-1457,RESOLVED
org.eclipse.jdt.core_3.12.3.v20170228-1205,STARTING
org.eclipse.jdt.core.compiler.batch_3.12.3.v20170228-1205,RESOLVED
org.eclipse.jdt.core.manipulation_1.7.0.v20160419-0705,STARTING
org.eclipse.jdt.debug_3.10.1.v20160811-0441,STARTING
org.eclipse.jdt.debug.ui_3.7.201.v20160811-0450,STARTING
org.eclipse.jdt.junit_3.9.0.v20160421-1701,STARTING
org.eclipse.jdt.junit.core_3.8.0.v20160421-1701,STARTING
org.eclipse.jdt.junit.runtime_3.4.600.v20160505-0715,RESOLVED
org.eclipse.jdt.junit4.runtime_1.1.600.v20160505-0715,RESOLVED
org.eclipse.jdt.launching_3.8.101.v20161111-2014,STARTING
org.eclipse.jdt.launching.macosx_3.3.0.v20160418-1524,STARTING
org.eclipse.jdt.launching.ui.macosx_1.1.0.v20160418-1524,STARTING
org.eclipse.jdt.ui_3.12.2.v20160929-0804,STARTING
org.eclipse.jetty.continuation_9.3.9.v20160517,RESOLVED
org.eclipse.jetty.http_9.3.9.v20160517,RESOLVED
org.eclipse.jetty.io_9.3.9.v20160517,RESOLVED
org.eclipse.jetty.security_9.3.9.v20160517,RESOLVED
org.eclipse.jetty.server_9.3.9.v20160517,RESOLVED
org.eclipse.jetty.servlet_9.3.9.v20160517,RESOLVED
org.eclipse.jetty.util_9.3.9.v20160517,RESOLVED
org.eclipse.jface_3.12.2.v20170113-2113,RESOLVED
org.eclipse.jface.databinding_1.8.1.v20161026-1531,RESOLVED
org.eclipse.jface.examples.databinding_1.0.300.v20160517-0715,RESOLVED
org.eclipse.jface.text_3.11.2.v20170220-1911,RESOLVED
org.eclipse.jsch.core_1.3.0.v20160422-1917,STARTING
