Bundle,Classpath Size
org.eclipse.emf.ecore.change_2.11.0.v20160420-0247,886
org.eclipse.emf.ecore.xmi_2.12.0.v20160420-0247,960
org.eclipse.equinox.app_1.3.400.v20150715-1528,297
org.eclipse.equinox.bidi_1.0.0.v20160307-1318,246
org.eclipse.equinox.cm_1.1.200.v20160324-1850,117
org.eclipse.equinox.concurrent_1.1.0.v20130327-1442,112
org.eclipse.equinox.console.jaas.fragment_1.0.0.v20130327-1442,0
org.eclipse.equinox.console.ssh_1.0.100.v20131208-1728,211
org.eclipse.equinox.coordinator_1.3.200.v20160325-1323,99
org.eclipse.equinox.device_1.0.400.v20130327-1442,93
org.eclipse.equinox.ds_1.4.400.v20160226-2036,172
org.eclipse.equinox.event_1.3.200.v20160324-1850,113
org.eclipse.equinox.frameworkadmin_2.0.300.v20160504-1450,136
org.eclipse.equinox.frameworkadmin.equinox_1.0.700.v20160102-2223,190
org.eclipse.equinox.frameworkadmin.test_1.1.100.v20150430-1836,1401
org.eclipse.equinox.http.jetty_3.3.0.v20160324-1850,660
org.eclipse.equinox.http.registry_1.1.400.v20150715-1528,313
org.eclipse.equinox.http.servlet_1.3.1.v20160808-1329,271
org.eclipse.equinox.http.servletbridge_1.0.300.v20130327-1442,141
org.eclipse.equinox.io_1.1.100.v20150430-1834,107
org.eclipse.equinox.ip_1.1.300.v20130327-1442,180
org.eclipse.equinox.jsp.jasper_1.0.500.v20150119-1358,180
org.eclipse.equinox.jsp.jasper.registry_1.0.300.v20130327-1442,229
org.eclipse.equinox.launcher_1.3.201.v20161025-1711,12
org.eclipse.equinox.launcher.cocoa.macosx.x86_64_1.1.401.v20161122-1740,0
org.eclipse.equinox.metatype_1.4.200.v20160324-1850,137
org.eclipse.equinox.p2.artifact.repository_1.1.500.v20160419-0834,721
org.eclipse.equinox.p2.console_1.0.500.v20160504-1450,243
org.eclipse.equinox.p2.core_2.4.100.v20160419-0834,198
org.eclipse.equinox.p2.director_2.3.300.v20160504-1450,863
org.eclipse.equinox.p2.director.app_1.0.500.v20160419-0834,364
org.eclipse.equinox.p2.directorywatcher_1.1.100.v20150423-1455,404
org.eclipse.equinox.p2.discovery_1.0.400.v20160504-1450,1076
org.eclipse.equinox.p2.discovery.compatibility_1.0.200.v20131211-1531,1187
org.eclipse.equinox.p2.engine_2.4.100.v20160419-0834,705
org.eclipse.equinox.p2.extensionlocation_1.2.300.v20160419-0834,542
org.eclipse.equinox.p2.garbagecollector_1.0.300.v20160504-1450,408
org.eclipse.equinox.p2.installer_1.0.500.v20160419-0100,2230
org.eclipse.equinox.p2.jarprocessor_1.0.500.v20160504-1450,101
org.eclipse.equinox.p2.metadata_2.3.100.v20160427-2220,380
org.eclipse.equinox.p2.metadata.repository_1.2.300.v20160419-0834,583
org.eclipse.equinox.p2.operations_2.4.200.v20160504-1450,379
org.eclipse.equinox.p2.publisher_1.4.100.v20160504-1450,1039
