Bundle,Classpath Size
org.eclipse.swt_3.105.3.v20170228-0512,982
org.eclipse.swt.cocoa.macosx.x86_64_3.105.3.v20170228-0512,0
org.eclipse.swt.examples_3.105.3.v20161230-1118,1132
org.eclipse.swt.examples.browser.demos_3.105.3.v20161230-1118,73
org.eclipse.swt.examples.launcher_3.105.3.v20161230-1118,75
org.eclipse.swt.examples.ole.win32_3.105.3.v20161230-1118,775
org.eclipse.swt.examples.views_3.105.3.v20161230-1118,239
org.eclipse.swt.tools_3.105.3.v20161230-1118,679
org.eclipse.team.core_3.8.0.v20160418-1534,411
org.eclipse.team.cvs.core_3.4.0.v20160418-1534,1397
org.eclipse.team.cvs.ssh2_3.3.0.v20160418-1534,288
org.eclipse.team.cvs.ui_3.4.0.v20160518-1906,5041
org.eclipse.team.examples.filesystem_3.5.0.v20160323-1650,2062
org.eclipse.team.ui_3.8.0.v20160518-1906,4237
org.eclipse.test.performance_3.12.0.v20170213-1316,160
org.eclipse.test.performance.win32_3.1.200.v20140518-1929,0
org.eclipse.text_3.6.0.v20160503-1849,875
org.eclipse.ui_3.108.1.v20160929-1045,2660
org.eclipse.ui.browser_3.5.2.v20161114-0210,660
org.eclipse.ui.cheatsheets_3.5.0.v20160504-0839,1106
org.eclipse.ui.cocoa_1.1.100.v20151202-1450,0
org.eclipse.ui.console_3.6.201.v20161107-0337,1402
org.eclipse.ui.editors_3.10.1.v20161106-1856,2959
org.eclipse.ui.examples.contributions_3.4.0.v20160401-0528,119
org.eclipse.ui.examples.fieldassist_1.1.100.v20160330-1439,3325
org.eclipse.ui.examples.javaeditor_3.2.0.v20160503-1849,1223
org.eclipse.ui.examples.multipageeditor_3.2.300.v20151104-0051,1300
org.eclipse.ui.examples.propertysheet_3.2.400.v20160329-2017,1347
org.eclipse.ui.examples.readmetool_3.4.0.v20160329-2017,1738
org.eclipse.ui.examples.undo_3.2.301.v20160329-2017,99
org.eclipse.ui.examples.views.properties.tabbed.article_3.2.1.v20160330-1438,114
org.eclipse.ui.externaltools_3.3.100.v20160518-1858,793
org.eclipse.ui.forms_3.7.1.v20161220-1635,1217
org.eclipse.ui.ide_3.12.3.v20170119-0935,4771
org.eclipse.ui.ide.application_1.1.101.v20160829-0827,2148
org.eclipse.ui.intro_3.5.2.v20161116-1147,1111
org.eclipse.ui.intro.quicklinks_1.0.0.v20160515-0255,3058
org.eclipse.ui.intro.universal_3.3.1.v20160829-1558,182
org.eclipse.ui.monitoring_1.1.2.v20170203-1115,264
org.eclipse.ui.navigator_3.6.101.v20161006-1120,355
org.eclipse.ui.navigator.resources_3.5.101.v20161006-0640,2591
org.eclipse.ui.net_1.3.0.v20160426-1633,114
org.eclipse.ui.themes_1.1.300.v20161107-1827,0
org.eclipse.ui.trace_1.0.400.v20160509-1055,712
org.eclipse.ui.views_3.8.102.v20170111-0801,716
org.eclipse.ui.views.log_1.2.1.v20160829-0826,1290
org.eclipse.ui.views.properties.tabbed_3.7.0.v20160310-0903,769
org.eclipse.ui.workbench_3.108.3.v20170216-1539,5455
org.eclipse.ui.workbench.texteditor_3.10.1.v20160818-1626,1548
org.eclipse.update.core_3.2.800.v20160413-0713,417
org.hamcrest_1.1.0.v20090501071000,72
org.hamcrest.core_1.3.0.v201303031735,45
org.hamcrest.integration_1.1.0.v201303031500,64
org.hamcrest.library_1.1.0.v20090501071000,68
org.hamcrest.text_1.1.0.v20090501071000,96
org.junit_4.12.0.v201504281640,331
org.mockito_1.8.4.v201303031500,896
org.objectweb.asm_5.0.1.v201404251740,25
org.objectweb.asm.tree_5.0.1.v201404251740,52
org.objenesis_1.0.0.v201505121915,28
org.sat4j.core_2.3.5.v201308161310,246
org.sat4j.pb_2.3.5.v201404071733,381
org.slf4j.api_1.7.2.v20121108-1250,23
org.tukaani.xz_1.3.0.v201308270617,102
org.w3c.css.sac_1.3.1.v200903091627,29
org.w3c.dom.events_3.0.0.draft20060413_v201105210656,12
org.w3c.dom.smil_1.0.1.v200903091627,14
org.w3c.dom.svg_1.1.0.v201011041433,161
